createdAt,lat,long,led,cardNumber,location
12/1/2020 0:00,13.78911167,100.60405,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:02,13.78758333,100.6066817,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:04,13.78693167,100.60808,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:06,13.80116833,100.6152983,223,e10-619-40130,Lat Phrao
12/1/2020 0:14,13.78609833,100.6088833,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:16,13.78351667,100.6082317,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:18,13.78053333,100.6078783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:20,13.77854,100.6075833,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:22,13.77702667,100.60867,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:24,13.78013667,100.6111783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:26,13.78323,100.6112783,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:28,13.782885,100.610995,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:30,13.78473333,100.6115233,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:32,13.78647667,100.6085167,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:34,13.78668833,100.6081267,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:36,13.78773167,100.60628,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:38,13.786945,100.605085,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:40,13.783225,100.604795,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:42,13.782645,100.600965,223,e10-619-40130,Wang Thong Lang
12/1/2020 0:44,13.78213833,100.594635,223,e10-619-40130,Wang Thong Lang
12/21/2020 9:10,13.69798333,100.6473133,223,e10-619-40130,Pra Wet
12/21/2020 9:12,13.69621,100.6475983,223,e10-619-40130,Pra Wet
12/21/2020 9:14,13.69346167,100.6474367,223,e10-619-40130,Pra Wet
12/21/2020 9:16,13.69136333,100.64724,223,e10-619-40130,Pra Wet
12/21/2020 9:18,13.689255,100.6483667,223,e10-619-40130,Pra Wet
